urn:lsid:ipni.org:names:30000618-2	urn:kew.org:sanbi:LSP:tab1fam:ref:1	Mabberley: 4 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126656-1	urn:kew.org:sanbi:LSP:tab1fam:ref:3	Dahlgren & Van Wyk: 11 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:30000566-2	urn:kew.org:sanbi:LSP:tab1fam:ref:7	Townsend: 140 (1993b).	Townsend	1993
urn:lsid:ipni.org:names:30002342-2	urn:kew.org:sanbi:LSP:tab1fam:ref:9	Kokwaro: 1 (1986).	Kokwaro	1986
urn:lsid:ipni.org:names:30000342-2	urn:kew.org:sanbi:LSP:tab1fam:ref:11	Kessler: 93 (1993).	Kessler	1993
urn:lsid:ipni.org:names:30000180-2	urn:kew.org:sanbi:LSP:tab1fam:ref:13	Plunkett, Soltis & Soltis: 565 (1997).Drude’s (1898) classification system is likely to be modified as a result of evidence from DNA sequence data, e.g. Plunkett, Soltis & Soltis (1997). Some genera of the Hydrocotyloideae (Centella, Hydrocotyle) for exam	Plunkett, Soltis & Soltis	1997
urn:lsid:ipni.org:names:30000008-2	urn:kew.org:sanbi:LSP:tab1fam:ref:15	Venter & Verhoeven: 705 (1997). Apocynaceae, as circumscribed here, includes Asclepiadaceae and Periplocaceae.	Venter & Verhoeven	1997
urn:lsid:ipni.org:names:77126622-1	urn:kew.org:sanbi:LSP:tab1fam:ref:17	Andrews: 163 (1994).	Andrews	1994
urn:lsid:ipni.org:names:30001539-2	urn:kew.org:sanbi:LSP:tab1fam:ref:19	Plunkett, Soltis & Soltis: 565 (1997).Based on evidence from DNA sequence data (Plunkett, Soltis & Soltis 1997) some genera of the Hydrocotyloideae under Apiaceae (Centella and Hydrocotyle) have been transferred to the Araliaceae.	Plunkett, Soltis & Soltis	1997
urn:lsid:ipni.org:names:30000909-2	urn:kew.org:sanbi:LSP:tab1fam:ref:21	Huber: 129 (1993).	Huber	1993
urn:lsid:ipni.org:names:30075526-2	urn:kew.org:sanbi:LSP:tab1fam:ref:25	Moldenke: 149 (1973). The family Avicenniaceae has often been included in the Verbenaceae as a monotypic subfamily but is treated here as a segregated family on morphological grounds.	Moldenke	1973
urn:lsid:ipni.org:names:50038059-1	urn:kew.org:sanbi:LSP:tab1fam:ref:27	Hutchinson: 327 (1973) and A.P.G.: 549 (1998) under Zygophyllaceae.	Hutchinson	1973
urn:lsid:ipni.org:names:77126709-1	urn:kew.org:sanbi:LSP:tab1fam:ref:29	Hansen: 359 (1986).	Hansen	1986
urn:lsid:ipni.org:names:77126612-1	urn:kew.org:sanbi:LSP:tab1fam:ref:31	Grey-Wilson: 1 (1980).	Grey-Wilson	1980
urn:lsid:ipni.org:names:77126684-1	urn:kew.org:sanbi:LSP:tab1fam:ref:33	Sperling & Bittrich: 143 (1993).	Sperling & Bittrich	1993
urn:lsid:ipni.org:names:77126658-1	urn:kew.org:sanbi:LSP:tab1fam:ref:35	Hilliard: 136 (1976).	Hilliard	1976
urn:lsid:ipni.org:names:30000204-2	urn:kew.org:sanbi:LSP:tab1fam:ref:37	Van Wyk & Van Wyk: 21, 414 (1997).	Van Wyk & Van Wyk	1997
urn:lsid:ipni.org:names:30372811-2	urn:kew.org:sanbi:LSP:tab1fam:ref:39	Friedrich-Holzhammer: 1 (1969).	Friedrich-Holzhammer	1969
urn:lsid:ipni.org:names:30000135-2	urn:kew.org:sanbi:LSP:tab1fam:ref:41	Riedl: 43 (1997).	Riedl	1997
urn:lsid:ipni.org:names:30000087-2	urn:kew.org:sanbi:LSP:tab1fam:ref:43	Jonsell: 62 (1993).	Jonsell	1993
urn:lsid:ipni.org:names:30017182-2	urn:kew.org:sanbi:LSP:tab1fam:ref:47	Takhtajan: 452, 457 (1997).	Takhtajan	1997
urn:lsid:ipni.org:names:77126617-1	urn:kew.org:sanbi:LSP:tab1fam:ref:50	Van der Walt: 5 (1986).	Van der Walt	1986
urn:lsid:ipni.org:names:77126711-1	urn:kew.org:sanbi:LSP:tab1fam:ref:52	Glen: 37 (1996).	Glen	1996
