id,country,region,continent
DEN,Denmark,Northern Europe,Europe
FIN,Finland,Northern Europe,Europe
FOR,Føroyar,Northern Europe,Europe
GRB,Great Britain,Northern Europe,Europe
ICE,Iceland,Northern Europe,Europe
IRE,Ireland,Northern Europe,Europe
NOR,Norway,Northern Europe,Europe
SVA,Svalbard,Northern Europe,Europe
SWE,Sweden,Northern Europe,Europe
AUT,Austria,Middle Europe,Europe
BGM,Belgium,Middle Europe,Europe
CZE,Czechoslovakia,Middle Europe,Europe
GER,Germany,Middle Europe,Europe
HUN,Hungary,Middle Europe,Europe
NET,Netherlands,Middle Europe,Europe
POL,Poland,Middle Europe,Europe
SWI,Switzerland,Middle Europe,Europe
BAL,Baleares,Southwestern Europe,Europe
COR,Corse,Southwestern Europe,Europe
FRA,France,Southwestern Europe,Europe
POR,Portugal,Southwestern Europe,Europe
SAR,Sardegna,Southwestern Europe,Europe
SPA,Spain,Southwestern Europe,Europe
ALB,Albania,Southeastern Europe,Europe
BUL,Bulgaria,Southeastern Europe,Europe
GRC,Greece,Southeastern Europe,Europe
ITA,Italy,Southeastern Europe,Europe
KRI,Kriti,Southeastern Europe,Europe
ROM,Romania,Southeastern Europe,Europe
SIC,Sicilia,Southeastern Europe,Europe
TUE,Turkey-in-Europe,Southeastern Europe,Europe
YUG,Yugoslavia,Southeastern Europe,Europe
BLR,Belarus,Eastern Europe,Europe
BLT,Baltic States,Eastern Europe,Europe
KRY,Krym,Eastern Europe,Europe
RUC,Central European Russia,Eastern Europe,Europe
RUE,East European Russia,Eastern Europe,Europe
RUN,North European Russia,Eastern Europe,Europe
RUS,South European Russia,Eastern Europe,Europe
RUW,Northwest European Russia,Eastern Europe,Europe
UKR,Ukraine,Eastern Europe,Europe
ALG,Algeria,Northern Africa,Africa
EGY,Egypt,Northern Africa,Africa
LBY,Libya,Northern Africa,Africa
MOR,Morocco,Northern Africa,Africa
TUN,Tunisia,Northern Africa,Africa
WSA,Western Sahara,Northern Africa,Africa
AZO,Azores,Macaronesia,Africa
CNY,Canary Is.,Macaronesia,Africa
