,translation,,object
use:animalFood,Animal Food,used as %s,Animal food
use:animalFood:bees,Bees,used as %s,food for bees
use:animalFood:flowers,Flowers,used as %s,Animal food
use:animalFood:fruits,Fruits,used as %s,Animal food
use:animalFood:grainsCereals,Grains Cereals,used as %s,Animal food
use:animalFood:herbage,Herbage,used for %s,Herbage
use:animalFood:oilsFats,Oils Fats,used as %s,Animal food
use:animalFood:otherAnimalFoodType,Other Animal Food Type,used as %s,Animal food
use:animalFood:pulses,Pulses,used as %s,Animal food
use:animalFood:residuesByProductsFromIndustry,Residues By Products From Industry,used as %s,Animal food
use:animalFood:roots,Roots,used as %s,Animal food
use:animalFood:unspecifiedAnimal,Unspecified Animal,used as %s,Animal food
use:animalFood:unspecifiedAnimalFoodType,Unspecified Animal Food Type,used as %s,Animal food
use:environmentalUse,Environmental,used has %s,Environmental Uses
use:environmentalUse:agroforestry,Agroforestry,used for %s,Agroforestry
use:environmentalUse:boundaryBarrierSupportPlants,Boundary Barrier Support Plants,used as %s,Boundry Barrier Support
use:environmentalUse:companionPlants,Companion Plants,used as %s,a companion plant
use:environmentalUse:erosionControl,Erosion Control,used for  %s,Erosion control
use:environmentalUse:firebreaks,Firebreaks,used as %s,a firebreak
use:environmentalUse:indicatorPlants,Indicator Plants,used as %s,an indicator plant
use:environmentalUse:ornamentals,Ornamentals,used as %s,an ornamental plant
use:environmentalUse:otherEnvironmentalUses,Other Environmental Uses,used has %s,Environmental Uses
use:environmentalUse:pollutionControl,Pollution Control,used for  %s,Pollution Control
use:environmentalUse:revegetation,Revegetation,used for %s,Revegetation
use:environmentalUse:shadeShelter,Shade Shelter,used to %s,provide Shade Shelter 
use:environmentalUse:soilImprovers,Soil Improvers,used as %s,a soil improver
use:environmentalUse:unspecifiedEnvironmentalUses,Unspecified Environmental Uses,has %s uses,Environmental Uses
use:food,Food,used for %s,food
use:food:cereals,Cereals,used for %s,Cereals
use:food:foodAdditives,Food Additives,used as %s,a Food Additive
