,translation,,object
use:animalFood,Animal Food,as %s,Animal food
use:animalFood:bees,Bees,as %s,food for bees
use:animalFood:flowers,Flowers,as %s,Animal food
use:animalFood:fruits,Fruits,as %s,Animal food
use:animalFood:grainsCereals,Grains Cereals,as %s,Animal food
use:animalFood:herbage,Herbage,for %s,Herbage
use:animalFood:oilsFats,Oils Fats,as %s,Animal food
use:animalFood:otherAnimalFoodType,Other Animal Food Type,as %s,Animal food
use:animalFood:pulses,Pulses,as %s,Animal food
use:animalFood:residuesByProductsFromIndustry,Residues By Products From Industry,as %s,Animal food
use:animalFood:roots,Roots,as %s,Animal food
use:animalFood:unspecifiedAnimal,Unspecified Animal,as %s,Animal food
use:animalFood:unspecifiedAnimalFoodType,Unspecified Animal Food Type,as %s,Animal food
use:environmentalUse,Environmental,has %s,Environmental Uses
use:environmentalUse:agroforestry,Agroforestry,for %s,Agroforestry
use:environmentalUse:bioindicator,Bioindicator,as %s,a bioindicator
use:environmentalUse:boundaryBarrierSupportPlants,Boundary Barrier Support Plants,as %s,Boundry Barrier Support
use:environmentalUse:companionPlants,Companion Plants,as %s,a companion plant
use:environmentalUse:erosionControl,Erosion Control,for  %s,Erosion control
use:environmentalUse:fertilityImprovers,Fertility Improvers,as %s,a fertility improver
use:environmentalUse:firebreaks,Firebreaks,as %s,a firebreak
use:environmentalUse:indicatorPlants,Indicator Plants,as %s,an indicator plant
use:environmentalUse:monitoring,Environmental Monitoring,for %s,environmental monitoring
use:environmentalUse:ornamentals,Ornamentals,as %s,an ornamental plant
use:environmentalUse:otherEnvironmentalUses,Other Environmental Uses,has %s,Environmental Uses
use:environmentalUse:pollutionControl,Pollution Control,for  %s,Pollution Control
use:environmentalUse:revegetation,Revegetation,for %s,Revegetation
use:environmentalUse:shadeShelter,Shade Shelter,to %s,provide Shade Shelter 
use:environmentalUse:soilImprovers,Soil Improvers,as %s,a soil improver
use:environmentalUse:unspecifiedEnvironmentalUses,Unspecified Environmental Uses,has %s,Environmental Uses
use:food,Food,for %s,food
use:food:beverages,Beverages,for %s, food
use:food:cereals,Cereals,for %s,Cereals
use:food:fermentingAgents,Fermenting Agents,as %s,a fermenting agent
use:food:foodAdditives,Food Additives,as %s,a Food Additive
use:food:fruitsDessertFruits,Fruits Dessert Fruits,for %s,dessert
use:food:gumsMucilagesResins,Gums Mucilages Resins,as %s,a gum or resin
use:food:mushrooms,Mushrooms,for %s,food
use:food:nuts,Nuts,for %s,food
use:food:oilsFats,Oils Fats,for %s,food
use:food:otherFoodType,Other Food Type,for %s,food
use:food:pseudocereals,Pseudocereals,for %s,food
use:food:pulses,Pulses,for %s,food
use:food:starches,Starches,as a source of %s,starch
use:food:sugars,Sugars,as a source of %s,sugar
use:food:unspecifiedFood,Unspecified Food,for %s,food
use:food:unspecifiedFoodType,Unspecified Food Type,for %s,food
use:food:vegetables,Vegetables,as %s,A vegetable
trade,Trade,for %s,trade
use:fuel,Fuel,for %s,fuel
use:fuel:charcoal,Charcoal,for %s,charcoal
use:fuel:fuelwood,Fuelwood,for %s,firewood
use:fuel:nonWoodyFuel,Non Woody Fuel,for %s,fuel
use:fuel:petroleumSubstitutesAlcoholsEtc,Petroleum Substitutes Alcohols Etc,as %s,a petrol substitute
use:fuel:tinder,Tinder,for %s,tinder
use:fuel:unspecifiedFuelType,Unspecified Fuel Type,for %s,fuel
use:materials,Materials,as %s,a material
use:materials:alcohols,Alcohols,to %s,make alcohol
use:materials:caneRattanBambooReedWickerEtc,Cane Rattan Bamboo Reed Wicker Etc,for %s,"canes, rattan, bamboo, reeds or wicker"
use:materials:corkCorkSubstitutes,Cork Cork Substitutes,for %s,cork
use:materials:cosmetics,Cosmetics,to %s,make cosmetic products
use:materials:essentialOils,Essential Oils,to %s,make essential oils
use:materials:fibres,Fibres,for %s,fibres
use:materials:gumsResins,Gums Resins,as %s,a gum or resin
use:materials:latexRubber,Latex Rubber,as a source of %s,latex
use:materials:lipidsFatsAndOils,Lipids Fats And Oils,for %s,fats or oils
use:materials:otherChemicals,Other Chemicals,for %s,chemicals
use:materials:otherMaterials,Other Materials,for %s,materials
use:materials:tanninsDyestuffs,Tannins Dyestuffs,as %s,a tannin or dye
use:materials:unspecifiedMaterialsChemicals,Unspecified Materials Chemicals,as a source of %s,a source for chemicals
use:materials:waxes,Waxes,as a source of %s,a source of waxes
use:materials:wood,Wood,for %s,wood
use:medicines,Medicines,as %s,a medicine
use:medicines:abnormalities,Abnormalities,to treat %s,abnormalities
use:medicines:antifertiliyAgent,Antifertiliy Agent,as %s,an antifertility agent
use:medicines:antioxidant,Antioxidant,as %s,an antioxidant
use:medicines:bloodSystemDisorders,Blood System Disorders,to treat %s,blood system disorders
use:medicines:circulatorySystemDisorders,Circulatory System Disorders,to treat %s,Circulatory System Disorders
use:medicines:digestiveSystemDisorders,Digestive System Disorders,to treat %s,Digestive System Disorders
use:medicines:endocrineSystemDisorders,Endocrine System Disorders,to treat %s,Endocrine System Disorders
use:medicines:fever,Fever,to treat %s,fever
use:medicines:genitourinarySystemDisorders,Genitourinary System Disorders,to treat %s,Genitourinary System Disorders
use:medicines:illDefinedSymptoms,Ill-Defined Symptoms,to treat %s,Ill-Defined Symptoms
use:medicines:immuneSystemDisorders,Immune System Disorders,to treat %s,Immune System Disorders
use:medicines:infectionsInfestations,Infections Infestations,to treat %s,infection
use:medicines:inflammation,Inflammation,to treat %s,inflammation
use:medicines:injuries,Injuries,to treat %s,injuries
use:medicines:localCulturalDisorders,Local Cultural Disorders,to treat %s,abnormalities
use:medicines:mentalDisorders,Mental Disorders,to treat %s,Mental Disorders
use:medicines:metabolicSystemDisorders,Metabolic System Disorders,to treat %s,Metabolic System Disorders
use:medicines:muscularSkeletalSystemDisorders,Muscular-Skeletal System Disorders,to treat %s,Muscular-Skeletal System Disorders
use:medicines:neoplasms,Neoplasms,to treat %s,neoplasms
use:medicines:nervousSystemDisorders,Nervous System Disorders,to treat %s,Nervous System Disorders
use:medicines:nutritionalDisorders,Nutritional Disorders,to treat %s,Nutritional Disorders
use:medicines:otherMedicinalDisorders,Other Medicinal Disorders,to treat %s,Other Medicinal Disorders
use:medicines:pain,Pain,to treat %s,Pain
use:medicines:poisonings,Poisonings,to treat %s,Poisonings
use:medicines:pregnancyBirthPuerpueriumDisorders,Pregnancy Birth Puerpuerium Disorders,to treat %s,"Pregnancy, Birth and Puerpuerium Disorders"
use:medicines:respiratorySystemDisorders,Respiratory System Disorders,to treat %s,Respiratory System Disorders
use:medicines:sensorySystemDisorders,Sensory System Disorders,to treat %s,Sensory System Disorders
use:medicines:skinSubcutaneousCellularTissueDisorders,Skin Subcutaneous Cellular Tissue Disorders,to treat %s,Skin Subcutaneous Cellular Tissue Disorders
use:medicines:unspecifiedMedicinalDisorders,Unspecified Medicinal Disorders,to treat %s,Unspecified Medicinal Disorders
use:poisons,Poisons,as %s,a poison
use:poisons:animalDiseaseControl,Animal Disease Control,to control %s,animal diseases
use:poisons:animalPestControl,Animal Pest Control,to control %s,animal pests
use:poisons:anthelmintic,Anthelmintic,as an %s agent %s,Anthelmintic
use:poisons:antibacterial,Antibacterial,as %s agent,Antibacterial
use:poisons:antifungal,Antifungal,as an %s agent,antifungal
use:poisons:antiprotozoal,Antiprotozoal,as %s agent,Antiprotozoal 
use:poisons:antiviral,Antiviral,as %s agent,Antiviral
use:poisons:arthropoda,Arthropoda Poison,as a poison for %s,arthropoda
use:poisons:fishing,Fishing,as a poison for %s,fishing
use:poisons:fishPoison,Fish Poison,as a poison for %s,fish
use:poisons:homicide,Homicide,as a poison for %s,homicide
use:poisons:housePestControl,House Pest Control,as a poison for %s,house pest control
use:poisons:hunting,Hunting,as a poison for %s,hunting
use:poisons:infanticide,Infanticide,as a poison %s,a poison
use:poisons:insecticidal,Insecticidal,as an %s,insecticide
use:poisons:livestockPestControl,Livestock Pest Control,as a poison for %s,livestock pest control
use:poisons:mammalianPoison,Mammalian Poison,as a poison for %s,mammals
use:poisons:otherPoisonType,Other Poison Type,as %s,a poison
use:poisons:otherUsesOfPoisons,Other Uses Of Poisons,as %s,a poison
use:poisons:plantDiseaseControl,Plant Disease Control,to control %s,plant diseases
use:poisons:plantPestControl,Plant Pest Control,to control %s,plant pest
use:poisons:poisonousPropertyNotActivelyUsed,Poisonous Property Not Actively Used,as %s,a poison
use:poisons:reptilePoison,Reptile Poison,to poison %s,reptiles
use:poisons:suicide,Suicide,as %s,a poison
use:poisons:unspecifiedMicrobes,as a poison for %s,unspecified microbes
use:poisons:unspecifiedPoisonType,Unspecified Poison Type,as %s,a poison
use:socialUse,Social,has %s,Social uses
use:socialUse:adulterants,Adulterants,as  %s,An Adulterant
use:socialUse:hallucinogens,Hallucinogens,as  %s,a Hallucinogen
use:socialUse:masticatories,Masticatories,as  %s,a Masticatory
use:socialUse:ornamentals,Ornamentals,has %s,Ornamental uses
use:socialUse:otherSocialUses,Other Social Uses,has %s,social uses
use:socialUse:sacredSpiritualPlants,Sacred Spiritual Plants,as  %s,a sacred spiritual plant
use:socialUse:sedatives,Sedatives,as  %s,a sedative
use:socialUse:smokingMaterials,Smoking Materials,for %s,smoking
use:socialUse:snuff,Snuff,as %s,snuff
use:socialUse:stimulants,Stimulants,as %s,a stimulant
use:socialUse:unspecifiedSocialUses,Unspecified Social Uses,has %s,social uses
use:weedImpact,Weed Impact,is %s,a weed
use:weedImpact:agriculturalWeed,Agricultural Weed,is %s,an agricultural weed
